Brand,Model,Year,Listing #,Asking Price (PHP),Mileage (km),Transmission,Fuel Type,Color,Location,Source,Listing URL,Notes,Year Posted,Year Listed,Sold Status,Has Issue (T/F),Condition Summary
Ford,EcoSport,2016,6,502208,54785,Automatic,Gas,Blue,Bulacan,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2016-1-1420065234/,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,7,475038,54014,Automatic,Gas,Blue,"Taguig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2016-ecosport-for-sale-aid8564696,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,8,499052,60246,Automatic,Gas,Silver,"Quezon City, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2016-1-1394257477/,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,9,475791,48781,Manual,Gas,Gray,Pampanga,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2016-1-1415828242/,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,10,426237,63183,Manual,Gas,Black,"Davao City, Davao",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2016-1-1392264693/,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,1,481517,70806,Automatic,Gas,Silver,"Taguig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1401363393/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,2,482809,53417,Manual,Gas,Silver,"Mandaluyong, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1385195923/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,3,438544,69314,Manual,Gas,Gray,Cavite,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1356957287/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,4,483738,68979,Manual,Gas,Blue,"Quezon City, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1433623035/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,5,573716,66771,Automatic,Gas,Silver,"Las Pinas, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2017-ecosport-for-sale-aid8818250,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,6,430496,63160,Automatic,Gas,White,Bulacan,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1446713546/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,7,445489,63059,Automatic,Gas,White,Laguna,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1445899490/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,8,532327,57594,Manual,Gas,White,"Taguig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1404435015/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,9,471733,56453,Manual,Gas,Black,"Makati, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1384644934/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2017,10,563513,52851,Automatic,Gas,Brown,Pampanga,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2017-1-1446902040/,"Market-based estimate for 2017 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,1,452992,68833,Automatic,Gas,Orange,"Davao City, Davao",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1434226286/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,2,453538,56081,Manual,Gas,Red,"Mandaluyong, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1419297828/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,3,573566,58534,Manual,Gas,White,"Makati, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1421151201/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,4,541491,57107,Automatic,Gas,Brown,"Mandaluyong, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1445440569/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,5,568718,57967,Automatic,Gas,Gray,Bulacan,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1377198080/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,6,519955,51392,Manual,Gas,White,Cavite,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1420284395/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,7,470047,48927,Automatic,Gas,Silver,"Pasig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2018-ecosport-for-sale-aid8807173,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,8,516687,62719,Automatic,Gas,Brown,"Quezon City, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1435281643/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,9,556034,54060,Manual,Gas,Black,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1449383372/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2018,10,553899,51739,Manual,Gas,Brown,Laguna,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2018-1-1386974807/,"Market-based estimate for 2018 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,1,546627,51978,Manual,Gas,Gray,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2019-1-1404917870/,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,2,530619,61451,Automatic,Gas,Black,"Paranaque, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2019-1-1403989525/,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,3,456971,57902,Manual,Gas,Blue,Bulacan,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2019-1-1371059528/,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,4,427012,63718,Automatic,Gas,Brown,Laguna,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2019-1-1432429097/,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,5,457407,53982,Automatic,Gas,Black,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2019-ecosport-for-sale-aid8350494,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,6,560583,51553,Manual,Gas,Red,"Las Pinas, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2019-ecosport-for-sale-aid8217277,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,7,559394,69586,Automatic,Gas,Silver,"Taguig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2019-1-1382984934/,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,8,451874,61169,Manual,Gas,Blue,"Taguig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2019-ecosport-for-sale-aid8027065,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,9,453043,60977,Manual,Gas,Red,"Las Pinas, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2019-ecosport-for-sale-aid8496431,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2019,10,462921,50941,Manual,Gas,Blue,"Pasig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2019-1-1396283798/,"Market-based estimate for 2019 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,1,535120,66373,Manual,Gas,Black,Pampanga,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2020-1-1362081575/,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,2,490663,63163,Manual,Gas,Black,Pampanga,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2020-1-1408495161/,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,3,556711,48412,Manual,Gas,Brown,Cavite,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2020-1-1358290521/,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,4,456716,65643,Automatic,Gas,Gray,Cavite,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2020-1-1434377574/,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,5,573822,49335,Automatic,Gas,Silver,"Paranaque, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2020-1-1355003656/,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,6,562175,65506,Automatic,Gas,Gray,Pampanga,Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2020-ecosport-for-sale-aid8798884,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,7,521054,62372,Automatic,Gas,White,Laguna,Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2020-ecosport-for-sale-aid8606090,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,8,552573,63770,Automatic,Gas,Orange,Laguna,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2020-1-1385094383/,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,9,522465,57414,Automatic,Gas,Black,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2020-ecosport-for-sale-aid8489689,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2020,10,446753,51075,Manual,Gas,Black,Laguna,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2020-1-1411249896/,"Market-based estimate for 2020 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,1,447701,58624,Automatic,Gas,Black,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2021-ecosport-for-sale-aid8892004,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,2,536118,63598,Manual,Gas,Red,"Davao City, Davao",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2021-1-1398383633/,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,3,474183,56275,Automatic,Gas,White,"Quezon City, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2021-1-1446223948/,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,4,512652,67783,Manual,Gas,Orange,"Las Pinas, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2021-1-1355481575/,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,5,566069,60462,Automatic,Gas,Silver,Laguna,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2021-1-1404477103/,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,6,555079,48870,Manual,Gas,Red,Bulacan,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2021-1-1363079366/,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,7,473242,54077,Automatic,Gas,White,Cavite,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2021-1-1423774015/,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,8,487608,63536,Manual,Gas,Gray,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2021-ecosport-for-sale-aid8914763,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,9,534858,70252,Automatic,Gas,Orange,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2021-ecosport-for-sale-aid8820189,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2021,10,448068,61497,Automatic,Gas,Blue,"Quezon City, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2021-1-1355256070/,"Market-based estimate for 2021 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,1,442479,54982,Automatic,Gas,Silver,Laguna,Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2022-ecosport-for-sale-aid8198943,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,2,571080,67795,Manual,Gas,Orange,"Quezon City, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2022-1-1407402107/,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,3,464032,60782,Automatic,Gas,Gray,Bulacan,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2022-1-1370816790/,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,4,527745,48012,Automatic,Gas,Red,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2022-1-1384810507/,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,5,488290,51159,Manual,Gas,Blue,"Pasig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2022-1-1351545224/,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,6,485447,61203,Manual,Gas,Brown,"Davao City, Davao",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2022-1-1446178494/,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,7,425560,49899,Manual,Gas,Blue,Pampanga,Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2022-ecosport-for-sale-aid8927760,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,8,522014,48478,Automatic,Gas,White,"Las Pinas, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2022-1-1408473051/,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,9,539638,70565,Automatic,Gas,White,"Mandaluyong, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2022-ecosport-for-sale-aid8030624,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2022,10,521974,63312,Manual,Gas,Brown,"Mandaluyong, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2022-1-1416115147/,"Market-based estimate for 2022 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,Everest,2015,1,1020896,67528,Automatic,Diesel,Blue,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-everest-2015-1-1449482399/,"Market-based estimate for 2015 Ford Everest - avg from online listings PHP 1,000,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,Everest,2015,2,975360,56744,Manual,Diesel,Gray,"Davao City, Davao",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-everest-2015-1-1425847098/,"Market-based estimate for 2015 Ford Everest - avg from online listings PHP 1,000,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
